Gene	16_LINDGREN_BLADDER_CAN	7_GAL_LEUKEMIC_STEM_CE	33_SHEPARD_BMYB_MORPHOL	19_MATTIOLI_MGUS_VS_PCL	21_MORI_PRE_BI_LYMPHOCY	32_SESTO_RESPONSE_TO_UV	38_SUNG_METASTASIS_STRO	37_SMITH_TERT_TARGETS_D	6_FAELT_B_CLL_WITH_VH3	40_THILLAINADESAN_ZNF21	5_DUNNE_TARGETS_OF_AML	18_MARSHALL_VIRAL_INFEC	29_REACTOME_THE_ROLE_OF	17_MACLACHLAN_BRCA1_TAR	22_NIELSEN_LIPOSARCOMA_	2_BIOCARTA_CELLCYCLE_P	11_HINATA_NFKB_TARGETS_	15_LAMB_CCND1_TARGETS	25_REACTOME_ACTIVATED_T	14_KIM_TIAL1_TARGETS
GNAI2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PPID	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HSPA1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RAB31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HSD17B10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
GCA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LCP1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CD24	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ATP2B4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CXCR4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NUCB2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LAPTM5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PLAC8	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PRG2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NFE2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GINS2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIRC5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC6	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDRG2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORC1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUB1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZWINT	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF23	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CDCA2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PVALB	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLGAP5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF14	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF11	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAPG2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MT1G	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RBL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CCNE1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SQLE	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF4A	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RACGAP1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKA	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA7	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMARCA4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WHSC1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS10	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CLDN4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL2RG	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAFAH1B3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PMP22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM50A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHAF1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFMBT1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYBL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNL3L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH3KBP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTSE1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAG1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIT	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGB2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEAD2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1F0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDIA5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PMM2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF2C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPCS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPHOSPH9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRRX1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAE1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAV2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOBEC3B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BIRC3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMB4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRCA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAI14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFAIP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HN1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PMS2P4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD54L	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNASEH2A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SELL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDXDC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDELR2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENAH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLN3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RELL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERS2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIP13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRGAP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PVRL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNX5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ILF3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL2RA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD80	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMPO	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAGLN2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APEX2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMURF1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMD11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THBD	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEURL1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASAP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC43A3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RFC3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLK4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FABP3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGCS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83D	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEDD9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C10orf12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERBB3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PEA15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC44A2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ST8SIA3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PATL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEK2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF11A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZH2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDHD1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEPDC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELSR3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATAD2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXO1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTTG1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EMP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CENPE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
TOP2A	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RRM2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNB2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD51	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNB1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MELK	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
UBE2C	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MCM6	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CKS1B	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
