Gene	4_CREIGHTON_ENDOCRINE_	32_ROPERO_HDAC2_TARGETS	8_GRADE_COLON_AND_RECT	2_BILANGES_SERUM_RESPO	28_REACTOME_FORMATION_O	36_SOTIRIOU_BREAST_CANC	37_TAKADA_GASTRIC_CANCE	3_BRIDEAU_IMPRINTED_GE	29_REACTOME_RNA_POL_III	5_EBAUER_TARGETS_OF_PA	10_HEDENFALK_BREAST_CAN	18_NGO_MALIGNANT_GLIOMA	35_SIG_REGULATION_OF_TH	19_NIELSEN_MALIGNAT_FIB	30_REACTOME_SIGNALING_B	14_LEIN_LOCALIZED_TO_PR	39_VALK_AML_CLUSTER_13	27_REACTOME_ERK_MAPK_TA	13_KEGG_GLYCINE_SERINE_	25_RASHI_RESPONSE_TO_IO
TTC18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HERC2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSHZ1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SUB1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WRB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CAP2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BRPF3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
DDHD1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BCL2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SGMS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CDH3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TSPAN3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
POLG2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PDZRN3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ARHGAP26	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ZFYVE16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DZIP3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NRCAM	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MTUS2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HPS5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SRSF11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NAP1L1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
METAP2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CEPT1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MLLT4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SYNCRIP	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CASD1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
UBR5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
