Gene	74_VECCHI_GASTRIC_CANCE	15_DELYS_THYROID_CANCER	10_CHIANG_LIVER_CANCER_	29_HOSHIDA_LIVER_CANCER	81_YAUCH_HEDGEHOG_SIGNA	41_LEE_LIVER_CANCER_E2F	66_SCHLESINGER_METHYLAT	51_NAKAYAMA_SOFT_TISSUE	64_RICKMAN_HEAD_AND_NEC	3_BIOCARTA_BAD_PATHWAY	56_REACTOME_AQUAPORIN_M	61_REACTOME_NEPHRIN_INT	34_KEGG_ETHER_LIPID_MET	8_CHEMELLO_SOLEUS_VS_E	4_BIOCARTA_NOS1_PATHWA	59_REACTOME_FORMATION_O	35_KEGG_PRIMARY_BILE_AC	62_REACTOME_PHASE1_FUNC	36_KEGG_RETINOL_METABOL	37_KEGG_TYROSINE_METABO
TST	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH5A1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRB2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLYCD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPLD1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFD1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RORC	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETFDH	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RWDD3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUDT6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHOB	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPRG1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FMO4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIBADH	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSD17B6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH3A2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPDZ	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDO1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUNDC3B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC14B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUDT7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GNE	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMDHD1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CMBL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYTL4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC46A3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYBU	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECM2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNJ8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PPP3CC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GRIN2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PRKCA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PPP3CA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
PAK1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TMOD1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MYOM2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PDLIM3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SOS2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PAFAH1B1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PAFAH1B2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CHPT1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PLA2G12A	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AGPS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LPCAT2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PLD1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PPAP2A	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PLA2G4A	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
THBD	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
NPTX1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DLC1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RBP7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TCEAL1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKG1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PMP22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NKX3-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PGR	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DSC3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PTHLH	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH1A3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ZNF235	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLCE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCA5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1468	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PENK	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STK33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB22A	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDH10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBP	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQR	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QTNF7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM110B	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCSK5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MED6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEBL	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NME7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BST1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZC3H13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BNC2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPHN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRPC1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPP10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RERG	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPOCK1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
