Gene	14_MCLACHLAN_DENTAL_CAR	9_ICHIBA_GRAFT_VERSUS_	8_FLECHNER_BIOPSY_KIDN	12_MARKEY_RB1_CHRONIC_L	6_DAWSON_METHYLATED_IN	10_LEE_LIVER_CANCER_MYC	19_ONO_AML1_TARGETS_DN	20_ONO_FOXP3_TARGETS_DN	37_WILENSKY_RESPONSE_TO	1_BENNETT_SYSTEMIC_LUP	17_NIELSEN_GIST_AND_SYN	40_ZHAN_MULTIPLE_MYELOM	39_YAO_HOXA10_TARGETS_V	2_BIOCARTA_COMP_PATHWA	4_CHEN_ETV5_TARGETS_SE	36_VALK_AML_CLUSTER_4	11_MAHADEVAN_RESPONSE_T	38_WU_ALZHEIMER_DISEASE	13_MASRI_RESISTANCE_TO_	18_OLSSON_E2F3_TARGETS_
MNDA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PECAM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFAIP8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
INHBA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAFF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFAIP3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYZ	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCL2A1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT1G	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL7R	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FYB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFIL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KYNU	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G0S2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFD	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
S100A8	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
C1QB	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
CD53	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LAPTM5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRC	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD14	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TYROBP	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ITGB2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
