qGS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
LEIN_CHOROID_PLEXUS_MARKERS	98	http://www.broadinstitute.org/gsea/msigdb/cards/LEIN_CHOROID_PLEXUS_MARKERS	0.26453	1.0862	0.346	1	1	0.194	0.154	0.165	1	0.636
RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_UP	102	http://www.broadinstitute.org/gsea/msigdb/cards/RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_UP	0.34654	1.0839	0.373	1	1	0.373	0.211	0.295	1	0.641
ZHENG_GLIOBLASTOMA_PLASTICITY_DN	56	http://www.broadinstitute.org/gsea/msigdb/cards/ZHENG_GLIOBLASTOMA_PLASTICITY_DN	0.27353	1.0829	0.3255	1	1	0.179	0.0937	0.162	1	0.64
VALK_AML_CLUSTER_6	33	http://www.broadinstitute.org/gsea/msigdb/cards/VALK_AML_CLUSTER_6	0.35383	1.0823	0.3257	1	1	0.273	0.145	0.234	1	0.64
XU_GH1_AUTOCRINE_TARGETS_UP	243	http://www.broadinstitute.org/gsea/msigdb/cards/XU_GH1_AUTOCRINE_TARGETS_UP	0.23567	1.082	0.2947	1	1	0.243	0.189	0.199	1	0.637
TANG_SENESCENCE_TP53_TARGETS_UP	32	http://www.broadinstitute.org/gsea/msigdb/cards/TANG_SENESCENCE_TP53_TARGETS_UP	0.33613	1.0811	0.3726	1	1	0.219	0.123	0.192	1	0.637
CHANDRAN_METASTASIS_TOP50_UP	36	http://www.broadinstitute.org/gsea/msigdb/cards/CHANDRAN_METASTASIS_TOP50_UP	0.34354	1.0806	0.387	1	1	0.306	0.177	0.252	1	0.633
PID_HEDGEHOG_GLI_PATHWAY	47	http://www.broadinstitute.org/gsea/msigdb/cards/PID_HEDGEHOG_GLI_PATHWAY	0.28373	1.0799	0.3564	1	1	0.234	0.169	0.195	1	0.631
ZHAN_MULTIPLE_MYELOMA_MF_DN	37	http://www.broadinstitute.org/gsea/msigdb/cards/ZHAN_MULTIPLE_MYELOMA_MF_DN	0.34064	1.078	0.3674	1	1	0.297	0.129	0.259	1	0.638
KORKOLA_EMBRYONIC_CARCINOMA_VS_SEMINOMA_DN	24	http://www.broadinstitute.org/gsea/msigdb/cards/KORKOLA_EMBRYONIC_CARCINOMA_VS_SEMINOMA_DN	0.30503	1.076	0.3636	1	1	0.25	0.18	0.205	1	0.646
REACTOME_RNA_POL_III_CHAIN_ELONGATION	16	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RNA_POL_III_CHAIN_ELONGATION	0.37194	1.0759	0.4004	1	1	0.375	0.216	0.294	1	0.639
BONOME_OVARIAN_CANCER_POOR_SURVIVAL_UP	31	http://www.broadinstitute.org/gsea/msigdb/cards/BONOME_OVARIAN_CANCER_POOR_SURVIVAL_UP	0.48628	1.0759	0.3871	1	1	0.419	0.163	0.351	1	0.641
MANN_RESPONSE_TO_AMIFOSTINE_UP	19	http://www.broadinstitute.org/gsea/msigdb/cards/MANN_RESPONSE_TO_AMIFOSTINE_UP	0.33282	1.0741	0.3733	1	1	0.474	0.265	0.348	1	0.642
ELVIDGE_HIF1A_TARGETS_UP	62	http://www.broadinstitute.org/gsea/msigdb/cards/ELVIDGE_HIF1A_TARGETS_UP	0.2919	1.0734	0.3362	1	1	0.177	0.104	0.159	1	0.641
WOOD_EBV_EBNA1_TARGETS_DN	47	http://www.broadinstitute.org/gsea/msigdb/cards/WOOD_EBV_EBNA1_TARGETS_DN	0.38333	1.072	0.3732	1	1	0.191	0.0597	0.18	1	0.644
MATZUK_EMBRYONIC_GERM_CELL	19	http://www.broadinstitute.org/gsea/msigdb/cards/MATZUK_EMBRYONIC_GERM_CELL	0.37475	1.0713	0.4096	1	1	0.316	0.149	0.269	1	0.643
FOURNIER_ACINAR_DEVELOPMENT_EARLY_UP	20	http://www.broadinstitute.org/gsea/msigdb/cards/FOURNIER_ACINAR_DEVELOPMENT_EARLY_UP	0.39785	1.0712	0.3859	1	1	0.25	0.104	0.224	1	0.639
MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP	209	http://www.broadinstitute.org/gsea/msigdb/cards/MARTORIATI_MDM4_TARGETS_FETAL_LIVER_UP	0.23829	1.0704	0.355	1	1	0.167	0.107	0.151	1	0.64
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_DN	19	http://www.broadinstitute.org/gsea/msigdb/cards/GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_YELLOW_DN	0.33856	1.0701	0.374	1	1	0.368	0.227	0.285	1	0.637
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	116	http://www.broadinstitute.org/gsea/msigdb/cards/ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	0.27156	1.07	0.3541	1	1	0.198	0.124	0.174	1	0.633
FIGUEROA_AML_METHYLATION_CLUSTER_3_UP	146	http://www.broadinstitute.org/gsea/msigdb/cards/FIGUEROA_AML_METHYLATION_CLUSTER_3_UP	0.23969	1.0691	0.3427	1	1	0.171	0.142	0.148	1	0.63
REACTOME_RAS_ACTIVATION_UOPN_CA2_INFUX_THROUGH_NMDA_RECEPTOR	17	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RAS_ACTIVATION_UOPN_CA2_INFUX_THROUGH_NMDA_RECEPTOR	0.37711	1.0688	0.3829	1	1	0.235	0.112	0.209	1	0.631
TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_UP	63	http://www.broadinstitute.org/gsea/msigdb/cards/TURASHVILI_BREAST_NORMAL_DUCTAL_VS_LOBULAR_UP	0.36557	1.0683	0.3848	1	1	0.254	0.15	0.216	1	0.627
GAUSSMANN_MLL_AF4_FUSION_TARGETS_D_UP	35	http://www.broadinstitute.org/gsea/msigdb/cards/GAUSSMANN_MLL_AF4_FUSION_TARGETS_D_UP	0.31997	1.0671	0.3363	1	1	0.171	0.113	0.152	1	0.628
REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION	18	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION	0.3528	1.0664	0.4226	1	1	0.333	0.216	0.262	1	0.629
MEINHOLD_OVARIAN_CANCER_LOW_GRADE_UP	17	http://www.broadinstitute.org/gsea/msigdb/cards/MEINHOLD_OVARIAN_CANCER_LOW_GRADE_UP	0.41129	1.0659	0.36	1	1	0.176	0.0899	0.161	1	0.624
CHNG_MULTIPLE_MYELOMA_HYPERPLOID_DN	28	http://www.broadinstitute.org/gsea/msigdb/cards/CHNG_MULTIPLE_MYELOMA_HYPERPLOID_DN	0.40154	1.0641	0.3952	1	1	0.143	0.0879	0.13	1	0.627
SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_DN	82	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_RELAPSE_IN_BRAIN_DN	0.27847	1.0638	0.3763	1	1	0.159	0.116	0.141	1	0.627
KIM_GERMINAL_CENTER_T_HELPER_DN	23	http://www.broadinstitute.org/gsea/msigdb/cards/KIM_GERMINAL_CENTER_T_HELPER_DN	0.34373	1.063	0.3657	1	1	0.174	0.0844	0.159	1	0.63
MCCABE_BOUND_BY_HOXC6	410	http://www.broadinstitute.org/gsea/msigdb/cards/MCCABE_BOUND_BY_HOXC6	0.22042	1.0613	0.3162	1	1	0.249	0.194	0.204	1	0.634
KEGG_RIBOFLAVIN_METABOLISM	16	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_RIBOFLAVIN_METABOLISM	0.38276	1.0611	0.4024	1	1	0.188	0.067	0.175	1	0.631
MCCLUNG_CREB1_TARGETS_UP	94	http://www.broadinstitute.org/gsea/msigdb/cards/MCCLUNG_CREB1_TARGETS_UP	0.25495	1.0609	0.378	1	1	0.149	0.108	0.133	1	0.628
BERNARD_PPAPDC1B_TARGETS_UP	36	http://www.broadinstitute.org/gsea/msigdb/cards/BERNARD_PPAPDC1B_TARGETS_UP	0.37774	1.0603	0.3843	1	1	0.417	0.214	0.328	1	0.626
REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	164	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_FATTY_ACID_TRIACYLGLYCEROL_AND_KETONE_BODY_METABOLISM	0.23163	1.0601	0.3805	1	1	0.25	0.214	0.198	1	0.623
RICKMAN_HEAD_AND_NECK_CANCER_A	95	http://www.broadinstitute.org/gsea/msigdb/cards/RICKMAN_HEAD_AND_NECK_CANCER_A	0.28746	1.0595	0.3742	1	1	0.147	0.0616	0.139	1	0.623
KIM_GERMINAL_CENTER_T_HELPER_UP	61	http://www.broadinstitute.org/gsea/msigdb/cards/KIM_GERMINAL_CENTER_T_HELPER_UP	0.37836	1.0579	0.3914	1	1	0.443	0.191	0.359	1	0.624
DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER	98	http://www.broadinstitute.org/gsea/msigdb/cards/DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER	0.44306	1.0562	0.4403	1	1	0.337	0.172	0.28	1	0.629
GUO_TARGETS_OF_IRS1_AND_IRS2	94	http://www.broadinstitute.org/gsea/msigdb/cards/GUO_TARGETS_OF_IRS1_AND_IRS2	0.22932	1.055	0.3676	1	1	0.298	0.214	0.235	1	0.632
SIG_CD40PATHWAYMAP	33	http://www.broadinstitute.org/gsea/msigdb/cards/SIG_CD40PATHWAYMAP	0.27274	1.0538	0.3853	1	1	0.0909	0.0515	0.0863	1	0.632
TIEN_INTESTINE_PROBIOTICS_2HR_DN	86	http://www.broadinstitute.org/gsea/msigdb/cards/TIEN_INTESTINE_PROBIOTICS_2HR_DN	0.35577	1.0512	0.3971	1	1	0.372	0.209	0.295	1	0.641
IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP	27	http://www.broadinstitute.org/gsea/msigdb/cards/IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP	0.34475	1.0491	0.4034	1	1	0.333	0.235	0.255	1	0.648
SENESE_HDAC1_TARGETS_DN	240	http://www.broadinstitute.org/gsea/msigdb/cards/SENESE_HDAC1_TARGETS_DN	0.26643	1.0477	0.3948	1	1	0.183	0.125	0.162	1	0.652
ZWANG_DOWN_BY_2ND_EGF_PULSE	237	http://www.broadinstitute.org/gsea/msigdb/cards/ZWANG_DOWN_BY_2ND_EGF_PULSE	0.27981	1.0473	0.3654	1	1	0.198	0.11	0.178	1	0.65
LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_UP	173	http://www.broadinstitute.org/gsea/msigdb/cards/LASTOWSKA_NEUROBLASTOMA_COPY_NUMBER_UP	0.24827	1.047	0.3835	1	1	0.283	0.201	0.228	1	0.649
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	264	http://www.broadinstitute.org/gsea/msigdb/cards/ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	0.25998	1.0465	0.3707	1	1	0.182	0.119	0.162	1	0.649
CHYLA_CBFA2T3_TARGETS_DN	224	http://www.broadinstitute.org/gsea/msigdb/cards/CHYLA_CBFA2T3_TARGETS_DN	0.20066	1.0462	0.373	1	1	0.0759	0.0561	0.0723	1	0.644
MORI_PLASMA_CELL_DN	29	http://www.broadinstitute.org/gsea/msigdb/cards/MORI_PLASMA_CELL_DN	0.29247	1.0458	0.4125	1	1	0.207	0.142	0.178	1	0.642
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_UP	15	http://www.broadinstitute.org/gsea/msigdb/cards/SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX1_UP	0.42181	1.0428	0.4174	1	1	0.267	0.0777	0.246	1	0.65
MONNIER_POSTRADIATION_TUMOR_ESCAPE_UP	381	http://www.broadinstitute.org/gsea/msigdb/cards/MONNIER_POSTRADIATION_TUMOR_ESCAPE_UP	0.24836	1.0423	0.3868	1	1	0.168	0.134	0.148	1	0.649
ONGUSAHA_TP53_TARGETS	37	http://www.broadinstitute.org/gsea/msigdb/cards/ONGUSAHA_TP53_TARGETS	0.28212	1.0417	0.4045	1	1	0.189	0.162	0.159	1	0.649
REACTOME_NEPHRIN_INTERACTIONS	19	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NEPHRIN_INTERACTIONS	0.36238	1.0415	0.3781	1	1	0.105	0.0461	0.1	1	0.645
KASLER_HDAC7_TARGETS_1_UP	186	http://www.broadinstitute.org/gsea/msigdb/cards/KASLER_HDAC7_TARGETS_1_UP	0.19286	1.0413	0.3952	1	1	0.102	0.0843	0.0942	1	0.643
MATZUK_SPERMATOZOA	112	http://www.broadinstitute.org/gsea/msigdb/cards/MATZUK_SPERMATOZOA	0.22178	1.0408	0.3752	1	1	0.161	0.118	0.142	1	0.642
LUI_THYROID_CANCER_CLUSTER_3	28	http://www.broadinstitute.org/gsea/msigdb/cards/LUI_THYROID_CANCER_CLUSTER_3	0.32757	1.0401	0.3928	1	1	0.179	0.105	0.16	1	0.641
MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_UP	131	http://www.broadinstitute.org/gsea/msigdb/cards/MULLIGHAN_NPM1_MUTATED_SIGNATURE_2_UP	0.29892	1.0385	0.4248	1	1	0.206	0.12	0.182	1	0.645
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	71	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	0.24208	1.0382	0.3675	1	1	0.254	0.201	0.203	1	0.645
RAMALHO_STEMNESS_UP	198	http://www.broadinstitute.org/gsea/msigdb/cards/RAMALHO_STEMNESS_UP	0.35207	1.0378	0.4418	1	1	0.263	0.163	0.222	1	0.644
MCCABE_HOXC6_TARGETS_CANCER_UP	27	http://www.broadinstitute.org/gsea/msigdb/cards/MCCABE_HOXC6_TARGETS_CANCER_UP	0.27668	1.0376	0.4114	1	1	0.296	0.202	0.237	1	0.64
GARCIA_TARGETS_OF_FLI1_AND_DAX1_UP	54	http://www.broadinstitute.org/gsea/msigdb/cards/GARCIA_TARGETS_OF_FLI1_AND_DAX1_UP	0.27445	1.0375	0.3929	1	1	0.296	0.205	0.236	1	0.636
HOWLIN_CITED1_TARGETS_1_DN	33	http://www.broadinstitute.org/gsea/msigdb/cards/HOWLIN_CITED1_TARGETS_1_DN	0.38553	1.0365	0.4402	1	1	0.273	0.131	0.237	1	0.639
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	74	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.26099	1.0361	0.3777	1	1	0.189	0.131	0.165	1	0.636
CERVERA_SDHB_TARGETS_1_UP	110	http://www.broadinstitute.org/gsea/msigdb/cards/CERVERA_SDHB_TARGETS_1_UP	0.24764	1.0358	0.3935	1	1	0.191	0.14	0.165	1	0.632
TAVAZOIE_METASTASIS	100	http://www.broadinstitute.org/gsea/msigdb/cards/TAVAZOIE_METASTASIS	0.25566	1.0335	0.4043	1	1	0.13	0.0529	0.124	1	0.64
BILD_CTNNB1_ONCOGENIC_SIGNATURE	78	http://www.broadinstitute.org/gsea/msigdb/cards/BILD_CTNNB1_ONCOGENIC_SIGNATURE	0.38499	1.0332	0.4722	1	1	0.282	0.131	0.246	1	0.636
GAUSSMANN_MLL_AF4_FUSION_TARGETS_C_UP	167	http://www.broadinstitute.org/gsea/msigdb/cards/GAUSSMANN_MLL_AF4_FUSION_TARGETS_C_UP	0.2466	1.0326	0.4017	1	1	0.234	0.156	0.198	1	0.632
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	25	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	0.35266	1.0325	0.4204	1	1	0.52	0.245	0.393	1	0.63
REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	15	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	0.39923	1.0314	0.4577	1	1	0.2	0.0515	0.19	1	0.633
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP	74	http://www.broadinstitute.org/gsea/msigdb/cards/CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_UP	0.28604	1.0313	0.4214	1	1	0.162	0.104	0.146	1	0.632
MA_MYELOID_DIFFERENTIATION_UP	39	http://www.broadinstitute.org/gsea/msigdb/cards/MA_MYELOID_DIFFERENTIATION_UP	0.25989	1.0296	0.4126	1	1	0.205	0.13	0.179	1	0.635
KRIEG_KDM3A_TARGETS_NOT_HYPOXIA	186	http://www.broadinstitute.org/gsea/msigdb/cards/KRIEG_KDM3A_TARGETS_NOT_HYPOXIA	0.29736	1.0291	0.4182	1	1	0.328	0.2	0.264	1	0.635
BOYAULT_LIVER_CANCER_SUBCLASS_G1_DN	39	http://www.broadinstitute.org/gsea/msigdb/cards/BOYAULT_LIVER_CANCER_SUBCLASS_G1_DN	0.31885	1.0281	0.4106	1	1	0.256	0.142	0.22	1	0.635
TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_DN	308	http://www.broadinstitute.org/gsea/msigdb/cards/TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_DN	0.25553	1.0279	0.4059	1	1	0.162	0.101	0.148	1	0.635
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	17	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	0.35395	1.0277	0.428	1	1	0.235	0.173	0.195	1	0.629
RICKMAN_HEAD_AND_NECK_CANCER_F	53	http://www.broadinstitute.org/gsea/msigdb/cards/RICKMAN_HEAD_AND_NECK_CANCER_F	0.34863	1.0273	0.4224	1	1	0.151	0.0553	0.143	1	0.627
KEGG_BUTANOATE_METABOLISM	33	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_BUTANOATE_METABOLISM	0.29776	1.0257	0.3988	1	1	0.121	0.077	0.112	1	0.632
OSMAN_BLADDER_CANCER_DN	363	http://www.broadinstitute.org/gsea/msigdb/cards/OSMAN_BLADDER_CANCER_DN	0.25412	1.0253	0.4474	1	1	0.245	0.186	0.202	1	0.629
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP	186	http://www.broadinstitute.org/gsea/msigdb/cards/STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP	0.24185	1.0244	0.4116	1	1	0.22	0.15	0.189	1	0.633
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	17	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	0.32193	1.024	0.4139	1	1	0.294	0.168	0.245	1	0.629
KEGG_WNT_SIGNALING_PATHWAY	147	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_WNT_SIGNALING_PATHWAY	0.22224	1.0234	0.3966	1	1	0.143	0.135	0.124	1	0.626
BIOCARTA_GPCR_PATHWAY	35	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_GPCR_PATHWAY	0.32564	1.0232	0.4401	1	1	0.343	0.193	0.277	1	0.623
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	20	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	0.36179	1.0231	0.4861	1	1	0.1	0.0583	0.0942	1	0.62
REACTOME_MRNA_3_END_PROCESSING	32	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MRNA_3_END_PROCESSING	0.42941	1.0226	0.4841	1	1	0.531	0.278	0.384	1	0.621
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	17	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	0.3775	1.0222	0.4141	1	1	0.176	0.0657	0.165	1	0.619
PID_ALPHA_SYNUCLEIN_PATHWAY	32	http://www.broadinstitute.org/gsea/msigdb/cards/PID_ALPHA_SYNUCLEIN_PATHWAY	0.25201	1.0221	0.413	1	1	0.0625	0.00545	0.0622	1	0.617
REACTOME_IL_RECEPTOR_SHC_SIGNALING	24	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_IL_RECEPTOR_SHC_SIGNALING	0.33421	1.0219	0.4345	1	1	0.125	0.0437	0.12	1	0.614
KYNG_WERNER_SYNDROM_UP	19	http://www.broadinstitute.org/gsea/msigdb/cards/KYNG_WERNER_SYNDROM_UP	0.40615	1.0219	0.4276	1	1	0.421	0.185	0.343	1	0.61
BIOCARTA_INSULIN_PATHWAY	21	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_INSULIN_PATHWAY	0.38573	1.0217	0.4304	1	1	0.333	0.19	0.27	1	0.607
REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	134	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE	0.22593	1.0215	0.4099	1	1	0.157	0.13	0.137	1	0.606
REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE	48	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE	0.29604	1.0215	0.4407	1	1	0.188	0.112	0.167	1	0.601
REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII	15	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII	0.36419	1.0206	0.4369	1	1	0.2	0.0934	0.181	1	0.604
PID_SYNDECAN_2_PATHWAY	32	http://www.broadinstitute.org/gsea/msigdb/cards/PID_SYNDECAN_2_PATHWAY	0.32104	1.0197	0.4367	1	1	0.188	0.0823	0.172	1	0.605
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	363	http://www.broadinstitute.org/gsea/msigdb/cards/CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_UP	0.20944	1.0192	0.4349	1	1	0.0964	0.0832	0.0897	1	0.604
REACTOME_PHASE_II_CONJUGATION	57	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_PHASE_II_CONJUGATION	0.28517	1.0191	0.4283	1	1	0.228	0.132	0.198	1	0.601
IVANOVA_HEMATOPOIESIS_EARLY_PROGENITOR	499	http://www.broadinstitute.org/gsea/msigdb/cards/IVANOVA_HEMATOPOIESIS_EARLY_PROGENITOR	0.24369	1.0183	0.4495	1	1	0.196	0.163	0.168	1	0.601
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	290	http://www.broadinstitute.org/gsea/msigdb/cards/IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	0.21048	1.0177	0.4138	1	1	0.217	0.172	0.182	1	0.603
BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	72	http://www.broadinstitute.org/gsea/msigdb/cards/BILANGES_RAPAMYCIN_SENSITIVE_VIA_TSC1_AND_TSC2	0.27379	1.0157	0.439	1	1	0.222	0.154	0.188	1	0.608
KEGG_TGF_BETA_SIGNALING_PATHWAY	84	http://www.broadinstitute.org/gsea/msigdb/cards/KEGG_TGF_BETA_SIGNALING_PATHWAY	0.29403	1.0156	0.4237	1	1	0.202	0.14	0.175	1	0.606
BIOCARTA_PYK2_PATHWAY	29	http://www.broadinstitute.org/gsea/msigdb/cards/BIOCARTA_PYK2_PATHWAY	0.30446	1.0154	0.4391	1	1	0.207	0.101	0.186	1	0.604
RAY_TARGETS_OF_P210_BCR_ABL_FUSION_DN	16	http://www.broadinstitute.org/gsea/msigdb/cards/RAY_TARGETS_OF_P210_BCR_ABL_FUSION_DN	0.36517	1.0151	0.4754	1	1	0.188	0.0659	0.175	1	0.599
EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_UP	200	http://www.broadinstitute.org/gsea/msigdb/cards/EBAUER_TARGETS_OF_PAX3_FOXO1_FUSION_UP	0.22281	1.0144	0.431	1	1	0.19	0.151	0.163	1	0.6
NIKOLSKY_BREAST_CANCER_11Q12_Q14_AMPLICON	150	http://www.broadinstitute.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_11Q12_Q14_AMPLICON	0.23152	1.0141	0.4425	1	1	0.167	0.142	0.144	1	0.597
KANG_AR_TARGETS_UP	17	http://www.broadinstitute.org/gsea/msigdb/cards/KANG_AR_TARGETS_UP	0.38822	1.014	0.4402	1	1	0.118	0.00673	0.117	1	0.594
REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS	18	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_SIGNALING_BY_FGFR1_FUSION_MUTANTS	0.43172	1.0138	0.4478	1	1	0.333	0.108	0.298	1	0.593
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	16	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	0.38592	1.0131	0.4526	1	1	0.188	0.0705	0.174	1	0.592
HAHTOLA_MYCOSIS_FUNGOIDES_CD4_DN	113	http://www.broadinstitute.org/gsea/msigdb/cards/HAHTOLA_MYCOSIS_FUNGOIDES_CD4_DN	0.30345	1.0124	0.4745	1	1	0.354	0.212	0.28	1	0.59
PID_PTP1B_PATHWAY	52	http://www.broadinstitute.org/gsea/msigdb/cards/PID_PTP1B_PATHWAY	0.25608	1.0123	0.4234	1	1	0.0962	0.0437	0.0921	1	0.588
STEARMAN_LUNG_CANCER_EARLY_VS_LATE_UP	117	http://www.broadinstitute.org/gsea/msigdb/cards/STEARMAN_LUNG_CANCER_EARLY_VS_LATE_UP	0.32838	1.0123	0.4318	1	1	0.402	0.233	0.31	1	0.59
PENG_GLUTAMINE_DEPRIVATION_UP	36	http://www.broadinstitute.org/gsea/msigdb/cards/PENG_GLUTAMINE_DEPRIVATION_UP	0.25808	1.0097	0.439	1	1	0.194	0.147	0.166	1	0.594
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	38	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	0.29281	1.0093	0.4447	1	1	0.289	0.189	0.235	1	0.593
ASTON_MAJOR_DEPRESSIVE_DISORDER_UP	46	http://www.broadinstitute.org/gsea/msigdb/cards/ASTON_MAJOR_DEPRESSIVE_DISORDER_UP	0.29501	1.0093	0.4128	1	1	0.174	0.11	0.155	1	0.59
LIN_NPAS4_TARGETS_UP	153	http://www.broadinstitute.org/gsea/msigdb/cards/LIN_NPAS4_TARGETS_UP	0.26308	1.0085	0.4622	1	1	0.255	0.161	0.215	1	0.591
