Gene	6_GAL_LEUKEMIC_STEM_CE	34_SHEPARD_BMYB_MORPHOL	12_ICHIBA_GRAFT_VERSUS_	1_ACOSTA_PROLIFERATION	15_LENAOUR_DENDRITIC_CE	17_MORI_PRE_BI_LYMPHOCY	20_NIKOLSKY_BREAST_CANC	9_GROSS_HYPOXIA_VIA_EL	24_PARK_APL_PATHOGENESI	21_OLSSON_E2F3_TARGETS_	16_LINDSTEDT_DENDRITIC_	22_ONO_AML1_TARGETS_DN	23_ONO_FOXP3_TARGETS_DN	33_SEITZ_NEOPLASTIC_TRA	11_HOFFMANN_PRE_BI_TO_L	41_YAO_HOXA10_TARGETS_V	7_GOLUB_ALL_VS_AML_DN	38_THILLAINADESAN_ZNF21	31_REACTOME_THE_ROLE_OF	40_WU_HBX_TARGETS_3_UP
E2F8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMXL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHST15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF18B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD38	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRUNE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H4G	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COCH	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R12B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPSE	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGSF6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLEC5A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SECTM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VDR	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A6A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD86	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MS4A4A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNN1A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALPPL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP1B1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALNT12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STX11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMA4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR65	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMC2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZWINT	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASF1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLK6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF20A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LILRA6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF589	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTGER3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCAN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUB1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNASE2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BUB1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H3B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUSAP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LBR	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
BAIAP2L1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
UBE2C	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HIST1H1C	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MAD2L1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TIMP3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HIST1H2BN	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MT1F	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MAL2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
E2F3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MT1X	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CD9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
INHBA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HIST1H2BJ	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HIST3H2A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
IGF2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PTTG1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
THBD	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GZMA	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FCER1G	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EMP1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RACGAP1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SQLE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFD2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANP32E	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGST2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENPEP	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMC4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEF1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCAPH	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
POP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
XPO4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CAMK2N1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MND1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SKA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
RAD51AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MELK	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSAT1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTK	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MKI67	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRC1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFBP2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GINS2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC2A5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TPX2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AQP3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC29A2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POU3F3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNMT1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEPT6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOE	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYZL6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL1A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCK1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KAL1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPAN2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GMNN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SFRP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MDK	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLX2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDCA2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGAT4B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UCP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRAP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARID5B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXM1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PVALB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IQGAP3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCH1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEBP1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PMP22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRIM1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DLGAP5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SULF1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPN22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC4A2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELLS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MASTL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKAP2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR76	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASPM	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANLN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFB	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LHX1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GINS1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CXCR4	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
CCL5	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
SLFN12L	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
RBL1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
FFAR2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
PARP1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
RUNX2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
CD84	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
IL4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
IL17RA	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
IL17A	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
SELL	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
TNFSF8	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
SGOL1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
CREM	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SOCS3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IL10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CD2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NFKBIA	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
LYZ	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
